id,node_id,position
7533445,332296241,1
7533445,44390829,2
7533445,1121666534,3
7533445,1121666598,4
7533445,646957134,5
7533580,44460086,0
7533580,777387605,1
7533580,777387658,2
7533671,44442048,0
7533671,44442189,1
7533671,44446245,2
7533753,44508055,0
7533753,44508493,1
7533818,44478704,0
7533818,44478706,1
7533894,44501031,0
7533894,44501661,1
7533964,602509214,0
7533964,44487378,1
7533964,1753761665,2
7533964,44488391,3
7533964,44488981,4
7534090,44394913,0
7534090,1864144562,1
7534090,44398201,2
7534182,44418655,0
7534182,44419985,1
7534182,44419986,2
7534182,44421020,3
7534182,44421470,4
7534182,44422441,5
7534182,44423826,6
7534182,44424761,7
7534287,44421978,0
7534287,44423382,1
7534384,44416023,0
7534384,250169371,1
7534384,614932878,2
7534384,1652885197,3
7534384,1652885199,4
7534384,44408241,5
7534502,44528502,0
7534502,44527803,1
7534502,44529287,2
7534604,44520005,0
7534604,44520488,1
7534604,44520487,2
7534705,1849897027,0
7534705,44535951,1
7534705,44536897,2
7534705,44535347,3
7534815,44527794,0
7534815,44530941,1
7534815,1596759826,2
7534815,44533343,3
7534898,44522992,0
7534898,2846654233,1
7534898,44524043,2
7534973,44525107,0
7534973,44526192,1
7534973,44526189,2
7534973,44525698,3
7535082,44393077,0
7535082,1695161978,1
7535195,44438230,0
7535195,44438757,1
7535195,3999883520,2
7535195,3429302974,3
7535195,44438760,4
7535195,3429302976,5
7535195,44439213,6
7535374,44512486,0
7535374,44513013,1
7535456,44504029,0
7535456,44504490,1
7535519,44490530,0
7535519,44492136,1
7535591,44479188,0
7535591,44480294,1
7535677,44474811,0
7535677,44476939,1
7535752,44460630,0
7535752,44461712,1
7535752,2117662633,2
7535752,2117662632,3
7535752,44462221,4
7535819,44451002,0
7535819,44454478,1
7535915,44505429,0
7535915,44506426,1
7536049,44495966,0
7536049,44495967,1
7536049,44496884,2
7536049,44497513,3
7536049,614949269,4
7536049,44498025,5
7536171,44447263,0
7536171,44448801,1
7536282,44437674,0
7536282,1937642865,1
7536365,44410243,0
7536365,44410753,1
7536474,44437676,0
7536474,44441664,1
7536474,44441663,2
7536560,3927184673,0
7536560,44444075,1
7536839,44726152,0
7536839,44725089,1
7536839,44724619,2
7536839,44724105,3
7536839,44723655,4
7536839,44722254,5
7536839,3880831361,6
7536839,315358616,7
7536839,3880830356,8
7536839,44720738,9
7536839,3880830354,10
7536839,44719793,11
7536839,3880830343,12
7536839,3880830327,13
7536839,44712567,14
7536982,44792086,0
7536982,44793845,1
7537109,44835834,0
7537109,498468361,1
7537109,498468363,2
7537109,498468367,3
7537109,498468372,4
7537109,498468373,5
7537109,44833596,6
7537415,44855667,0
7537415,2154716564,1
7537415,1641212310,2
7537415,1641212373,3
7537415,44855665,4
7537631,1433963021,0
7537631,1510274218,1
7537631,2510115561,2
7537631,4195220903,3
7537631,1433963028,4
7537914,1433963030,0
7537914,44788953,1
7537914,44790949,2
7538090,44844516,0
7538090,1402644568,1
7538090,1402644571,2
7538090,1402644575,3
7538090,1402644582,4
7538090,44846595,5
7538090,1402644591,6
7538090,1402644584,7
7538090,44846593,8
7538090,610474431,9
7538300,44867895,0
7538300,313907897,1
7538300,1432901434,2
7538540,44873989,0
7538540,2599555328,1
7538540,4017944158,2
7538540,44874703,3
7538647,1391417377,0
7538647,44860530,1
7538647,1530303716,2
7538800,44844082,0
7538800,44844501,1
7538979,1391417324,0
7538979,1391417322,1
7539180,1821696304,0
7539180,629575580,1
7539632,44759045,0
7539632,1433962992,1
7539935,44735955,0
7539935,44736833,1
7540125,60230110,0
7540125,44712546,1
7540125,44712548,2
7540125,1668136736,3
7540533,44751573,0
7540533,1515837085,1
7540533,1515837090,2
7540533,1515837106,3
7540809,44720695,0
7540809,1830058806,1
7540809,1518087814,2
7541276,1518087765,0
7541276,44717858,1
7541538,1015968784,0
7541538,44820005,1
7541734,1391417166,0
7541734,1391417164,1
7541734,1797225143,2
7541734,1391417159,3
7541734,1505631002,4
7541734,559621609,5
7541988,44839599,0
7541988,3326068539,1
7541988,44842364,2
7541988,3326068538,3
7541988,44843606,4
7541988,568720541,5
7541988,509292944,6
7541988,44846094,7
7541988,509293035,8
7541988,509292956,9
7541988,509292961,10
7541988,1435362490,11
7541988,3326068549,12
